Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Sep-2014,08:18:41.445,3B6F FD9F, 5,56,20-Sep-2014,08:18:41.444
20-Sep-2014,08:21:58.891,D5D9 1723, A,37,20-Sep-2014,08:18:41.444
20-Sep-2014,08:25:32.389,66CC 8000, D,88,20-Sep-2014,08:18:41.444
20-Sep-2014,08:27:50.004,66CC 99A8, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,08:32:30.021,66CC 99AA, C,8C,20-Sep-2014,08:18:41.444
20-Sep-2014,08:39:54.010,66CC 99AA, E,3A,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:40.514,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:42.514,5252 5266, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:44.513,5252 5266, E,A9,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:46.511,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:48.511,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:50.510,5252 5266, C,DA,20-Sep-2014,08:18:41.444
20-Sep-2014,08:42:52.508,5252 5266, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,08:43:06.500,5252 5266, C,7D,20-Sep-2014,08:18:41.444
20-Sep-2014,08:43:08.500,5252 5266, C,8B,20-Sep-2014,08:18:41.444
20-Sep-2014,08:43:25.442,5252 5266, C,5C,20-Sep-2014,08:18:41.444
20-Sep-2014,08:55:11.958,66CC 99AA, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:40.177,66CC 99AA, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:42.177,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:44.176,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:46.175,5252 5266, E,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:48.175,5252 5266, E,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:50.174,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:54.173,5252 5266, D,A9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:02:56.173,5252 5266, E,78,20-Sep-2014,08:18:41.444
20-Sep-2014,09:03:00.170,5252 5266, C,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:25:18.067,5252 5266, C,8B,20-Sep-2014,08:18:41.444
20-Sep-2014,09:44:51.549,5252 5266, C,5C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:44:53.536,66CC 99AA, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:45:01.055,66C0 0000, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:16.045,5555 2800, C,9A,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:18.044,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:22.039,5250 5266, C,4C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:24.037,5252 5266, D,78,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:26.035,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:28.032,5252 5266, C,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:46:30.031,5252 5266, D,09,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:21.077,5252 5266, E,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:23.076,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:25.076,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:27.075,5252 5266, D,89,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:29.075,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:31.074,5252 5266, E,78,20-Sep-2014,08:18:41.444
20-Sep-2014,09:47:33.072,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:23.111,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:25.110,5252 5266, E,08,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:27.110,5252 5266, E,98,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:29.109,5252 5266, E,08,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:31.107,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:33.106,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:35.105,5252 5266, E,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:45.100,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:49.099,5252 5266, C,5C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:50:51.095,5252 5266, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:51:18.774,5240 0000, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:51:20.776,CCCC 1226, C,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:26.957,CCCC 1226, C,6C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:32.951,5252 5266, D,79,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:34.950,5252 5266, C,6B,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:36.950,5252 5266, C,B9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:40.949,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:42.948,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:44.948,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:52:46.944,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:22.664,5240 0000, D,89,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:24.662,5252 5266, E,79,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:26.662,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:28.660,5252 5266, E,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:30.659,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:32.658,5252 5266, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:34.658,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:36.657,5252 5266, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:38.656,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:40.656,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:42.655,5252 5266, C,B9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:52.652,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:30.064,5252 5266, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:41.002,66CC 99A0, C,7C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:43.001,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:45.000,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:47.000,5252 5266, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:48.999,5252 5266, E,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:50.998,5252 5266, E,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:52.996,5252 5266, E,C9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:54.996,5252 5266, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:56.995,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:58.994,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:57:00.994,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:57:04.993,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,09:58:43.341,4252 5262, C,4D,20-Sep-2014,08:18:41.444
20-Sep-2014,09:59:03.182,66CC 99AA, C,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:59:05.182,CCCC 1226, E,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:43.120,CCCC 0000, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:47.116,5252 5266, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:51.111,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:53.109,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:55.106,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:57.105,5252 5266, F,18,20-Sep-2014,08:18:41.444
