Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jun-2015,10:04:24.118,3B6F FD9F, 5,56,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:40.369,D5D9 9723, A,23,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:42.370,334B 2D34, C,BB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:43.369,334B 2D34, C,8B,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:44.367,334B 2D34, C,DB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:45.365,334B 2D34, C,AB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:46.362,334B 2D34, C,AB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:04:59.546,334B 2D3F, C,CB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:00.531,334B 4B52, C,8C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:01.514,334B 4B52, C,6D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:10.800,E800 0000, C,7A,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:29.019,334F DFF0, C,4F,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:30.004,334B 4B52, C,9B,20-Jun-2015,10:04:24.117
20-Jun-2015,10:05:30.987,334B 4B52, C,9B,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:04.257,E800 0000, C,A9,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:05.249,334B 4B52, D,58,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:06.241,334B 4B52, D,38,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:07.233,334B 4B52, D,89,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:10.207,334B 4B52, D,19,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:11.197,334B 4B42, C,5D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:11.514,334B 4B50, C,4D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:12.188,5566 4B4B, D,19,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:12.525,334B 4B52, C,AB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:13.179,5566 4B4B, D,88,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:14.545,334B 4B42, C,2D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:15.162,5566 4B4B, D,C8,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:15.553,334B 4B52, C,BB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:16.154,5566 4B4B, E,28,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:16.559,334B 4B52, C,CA,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:17.146,5566 4B4B, D,D9,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:17.562,334B 4B52, C,AB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:18.138,557F FFFC, D,B9,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:19.130,334B 4B52, C,AB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:20.120,334B 4B52, C,CB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:20.385,334B 4B42, C,8D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:21.111,334B 2D34, C,7C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:22.103,334B 4B52, C,8C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:23.094,334B 4B52, C,F9,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:25.078,334B 4B52, C,B9,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:25.406,334B 4B52, C,E8,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:29.408,334B 2D34, C,3D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:37.757,334B 2FFF, C,6E,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:42.807,3201 0000, C,2C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:49.819,134B 2D34, C,5D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:50.820,334B 2D34, C,7D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:06:52.123,234A 2934, C,5D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:21.616,334B 554B, C,6D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:22.619,334B 2D34, D,08,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:29.916,334B 2D34, D,18,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:30.902,030B 4B52, C,6E,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:31.886,3343 4A52, C,2E,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:55.288,3FFF D000, C,7E,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:57.290,334B 2D34, C,5C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:07:58.290,334B 2D30, C,5D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:13.698,334B 2D34, C,BA,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:15.237,330B 0342, C,4E,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:18.237,334B 2D34, C,DB,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:18.646,E000 0000, C,69,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:19.638,334B 4B52, C,4D,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:20.630,334B 4B52, C,8B,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:24.586,334B 4B52, C,6C,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:26.565,334B 4B52, C,CA,20-Jun-2015,10:04:24.117
20-Jun-2015,10:08:27.552,334B 4B52, C,E9,20-Jun-2015,10:04:24.117
