Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
2015-07-10,11:57:41.815,E3B2 29DE,AE,1B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:42.181,20FA 24FF,4C,DF,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:45.616,5566 7FFF,FA,A1,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:46.602,5566 4B2A,DD,A2,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:47.652,5566 7FFF,DE,94,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:48.659,5566 6652,DA,9A,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:49.277,5566 6652,DD,99,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:50.265,5566 524C,E6,8E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:51.249,5566 524C,F1,8C,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:52.167,553F FFFC,F0,AE,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:53.171,5566 4B4B,F9,97,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:57:54.174,5566 4B4B,F9,8E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:03.463,5567 FFFF,F7,AC,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:03.899,5566 4B4B,F9,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:04.467,5566 6652,D4,A6,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:04.906,5566 4B4B,F9,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:05.469,5566 6652,D5,AD,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:05.578,9FFF F000,F8,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:06.564,5566 4B2A,DD,9F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:20.580,5566 7FFF,E0,A6,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:21.587,5566 6652,D8,A9,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:25.348,5566 6652,DB,AA,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:26.334,5566 4B2A,DE,9B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:28.059,5566 4FFF,DD,98,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:29.068,5566 4B4B,E6,96,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:30.078,5566 4B4B,F8,89,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:31.088,5566 4B4B,E5,9E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:32.098,5566 4B4B,EF,92,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:33.109,5566 4B6B,F9,B7,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:34.116,5566 4B4B,F7,92,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:35.121,5566 4B4B,FB,94,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:37.479,5566 4B4B,FB,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:38.486,5566 6652,DB,9B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:44.800,5566 6652,DC,96,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:45.786,5566 4B2A,DE,9B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:49.884,5566 7FFF,DD,A4,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:50.890,5566 4B4B,FC,94,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:51.894,5566 4B4B,FD,91,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:52.897,5566 4B4B,FC,86,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:53.899,5566 4B4B,FB,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:54.818,5566 4B4B,FB,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:54.901,5566 6652,DA,A8,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:58:55.825,5566 4FFF,FB,8E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:00.121,5566 6652,DB,AB,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:01.128,5566 4B4B,FC,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:02.135,5566 4B4B,FC,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:03.143,5566 4B4B,FC,8A,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:04.060,5566 4B4B,FF,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:04.149,5566 4B2A,DD,99,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:05.153,5566 4B4B,FD,87,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:06.155,5566 4B4B,FD,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:11.337,5566 4BFF,FD,92,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:12.345,5566 4B4B,FD,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:12.595,5566 4B4B,FD,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:13.353,5566 6652,DB,96,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:13.603,5566 4B4B,FC,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:14.358,5566 6653,DC,9E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:15.362,5566 4B4B,FC,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:16.363,5566 4B4B,FC,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:23.064,7FFF F000,FD,93,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:24.050,5566 4B2A,DD,9E,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:26.236,5566 7FFF,DE,95,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:27.246,5566 4B4B,FC,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:28.255,5566 4B4B,FC,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:29.262,5566 4B4B,FD,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:29.520,5566 4B4B,FB,94,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:30.268,5566 6652,DA,A5,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:30.528,5566 4B4B,FD,92,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:31.272,5566 667F,DA,A9,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:32.275,5566 4B4B,FA,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:33.276,5566 4B4B,FB,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:40.323,5566 4BFF,FC,95,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:41.328,5566 4B4B,FD,8F,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:41.686,5566 4B4B,FC,92,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:42.672,5566 4B2A,DD,9D,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:43.623,5567 FFFF,DE,B4,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:44.614,334B 5533,FC,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:45.603,334B 5533,FE,95,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:46.447,334B 5533,00,90,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:46.589,5566 6652,DC,A4,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:47.454,334B 5FFF,01,99,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:50.402,5566 6652,DE,B5,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:51.408,5566 4B4B,FE,8C,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:51.748,5566 4B4B,FD,8A,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:52.414,334B 5533,FE,88,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:52.738,5566 4B4B,FE,8A,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:53.453,334B 5533,FA,91,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:53.725,5566 4B4B,FE,8B,Unit6,2015-07-10,11:57:41.136
2015-07-10,11:59:54.419,33F0 0000,FD,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,12:00:00.182,554F FFFF,FD,9C,Unit6,2015-07-10,11:57:41.136
2015-07-10,12:00:01.168,5566 4B2A,DD,9A,Unit6,2015-07-10,11:57:41.136
2015-07-10,12:00:01.274,5566 4BFF,E1,95,Unit6,2015-07-10,11:57:41.136
2015-07-10,12:00:02.281,5566 4B4B,FC,8D,Unit6,2015-07-10,11:57:41.136
2015-07-10,12:00:03.289,5566 4B4B,FD,8D,Unit6,2015-07-10,11:57:41.136
