Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-07-10T08:39:02.328,E3B2 69DF, A,E1,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:04.510,28FA 24FF, 4,CD,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:05.502,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:07.487,334B 4B50, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:10.464,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:16.728,334B 0B52, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:17.751,4B52 4B2D, D,79,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:25.348,4B52 4B3F, D,89,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:27.330,334B 4B42, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:29.313,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:31.297,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:34.273,324B 4B52, C,6E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:36.256,334B 4B52, C,8E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:37.248,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:38.240,334B 0B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:40.224,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:41.216,134B 4B52, C,6D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:42.208,334B 4352, C,9E,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:43.200,334B 4B52, C,7D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:44.192,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:45.184,334B 4B52, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:46.176,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:47.168,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:49.152,334B 4B52, C,9B,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:51.136,334B 4B52, C,8D,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:53.119,334B 4B52, C,9C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:56.095,334B 4B52, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:57.087,334B 4B52, C,AC,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:40:58.079,334B 4B52, C,8C,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:09.170,334B 4B52, C,AB,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:10.161,4B52 4B2D, D,69,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:11.151,4B52 4B2D, D,59,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:12.137,4B52 4B2D, D,A8,2015-07-10T08:39:01.646,ASL/16/3937*23

2015-07-10T08:41:15.957,4BFF FFF8, D,69,2015-07-10T08:39:01.646,ASL/16/3937*23

