Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
23-Jul-2015,10:48:58.242,BE57 7EFB,9F,C5,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,10:50:01.996,FDBB 40FA,8A,58,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,10:54:25.170,0801 41C0,C2,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,15:10:08.239,0080 4000,C5,FB,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,16:39:33.652,2000 0028,C3,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,16:39:44.112,2008 2000,C4,FC,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,17:52:31.900,0000 8410,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,18:02:12.525,2040 0001,C7,F5,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,18:17:29.202,001D 1001,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,18:58:21.817,0408 0000,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:02:00.466,7104 2880,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:09:16.917,0001 9801,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:16:48.467,0018 0001,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:25:07.413,0200 0880,C8,F3,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:28:49.600,020C 0800,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:31:36.959,0000 9040,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:31:49.740,0480 00A0,C2,FD,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:44:40.084,A100 080A,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:52:32.212,8010 2412,C9,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:54:25.159,1186 0880,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:58:14.173,0201 1160,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,19:59:56.147,1049 0C21,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:01:36.786,148D 1024,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:03:41.421,0000 2111,C9,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:08:04.105,3850 8080,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:08:55.809,1401 0304,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:11:52.052,8000 06D0,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:14:58.383,2042 6861,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:21:28.649,0490 0040,C4,F8,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:26:10.905,5848 228A,C3,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:30:58.899,2048 2001,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:33:28.750,0000 0512,C6,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:41:21.572,2801 0021,C2,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:48:46.052,4260 1E00,C8,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:53:27.524,0001 0000,C6,F3,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,20:53:35.298,5281 6014,C7,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,21:02:45.569,0500 8231,C5,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,21:05:06.087,1910 0420,C3,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,21:15:22.277,0040 1021,C4,FF,Unit1,23-Jul-2015,10:48:57.564
23-Jul-2015,21:15:36.378,6008 5942,C4,FF,Unit1,23-Jul-2015,10:48:57.564
