Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
2015-08-21T10:13:10.075,E3B2 6BDE,AE,1B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:13:40.231,08FA 64FF,4C,DF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:13:46.194,1546 0B2A,C6,F7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:13:49.177,5566 0B2A,C6,F3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:13:58.122,5466 4B2A,C4,E5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:00.822,1160 4100,C3,F9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:02.781,334B 4B34,C8,D4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:11.230,334B 4B34,CB,C6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:50.278,334B 4B52,C8,C5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:53.306,5566 4B4B,E1,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:14:55.322,5566 4B4B,CC,B0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:15:04.713,5566 4B4B,D0,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:15:05.700,334B 4B52,CF,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:23.652,334B 4B52,C8,BF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:25.633,334B 4B52,CF,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:26.624,334B 4B52,D0,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:27.614,334B 4B52,CD,A7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T10:16:28.604,334B 4B52,CE,A8,2015-08-21T10:13:09.516,ASL/16/3937*21

