Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-09-06T10:18:39.958,E392 615E, A,E1,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:45.581,00BA 24FF, 4,CD,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:46.568,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:52.567,5566 4B2A, C,AB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:53.579,5566 552D, E,79,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:54.589,5566 552D, E,89,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:54.877,5566 552D, D,58,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:55.598,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:55.865,57FF FF80, E,FB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:56.851,5566 4B2A, D,0A,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:18:57.837,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:03.925,554F FFF8, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:04.914,5566 4B2A, C,FA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:05.903,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:06.482,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:06.890,5566 552D, E,68,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:07.494,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:07.876,5566 552D, E,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:14.584,5566 4BFF, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:15.573,5566 4B2A, C,EB,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:16.562,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:16.711,5566 4B2A, C,EA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:17.549,66CC D2AD, 0,B8,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:18.535,5566 4B2A, C,E9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:24.689,5566 4BFF, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:25.678,5566 4B2A, C,DA,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:26.666,5566 4B2A, C,F9,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:27.652,5566 4B2A, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:34.422,5566 4B2F, D,29,2015-09-06T10:18:39.514,ASL/16/3937*2F

2015-09-06T10:19:34.982,5566 4B2A, D,19,2015-09-06T10:18:39.514,ASL/16/3937*2F

