Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-09-23T15:28:45.672,E3B2 6BDE, A,E1,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:46.995,28FA 24FF, 6,CD,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:48.007,5566 552D, D,19,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:49.017,5566 552D, D,1A,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:54.568,5566 552F, C,FA,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:55.580,5566 552D, D,09,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:56.591,5566 552D, D,08,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:57.601,5566 552D, D,09,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:21:58.609,5566 552D, C,FA,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:00.434,5FFF FE00, C,DB,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:01.449,5566 552D, C,BC,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:03.474,5566 552D, C,BC,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:04.483,5566 552D, C,D9,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:05.490,5566 55C0, C,CB,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:06.500,5566 552D, C,EA,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:08.520,5566 552D, C,E9,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:24.450,5166 7F9F, C,5F,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-23T16:22:26.472,5566 552D, C,EB,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T05:52:02.139,5566 552D, C,DB,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T05:52:03.126,334B 4B52, C,6D,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T05:52:04.109,334B 4B52, C,9B,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T05:53:09.987,3FF7 F000, C,AD,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T05:53:10.972,334B 4B52, C,FA,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:07:46.072,334B FFFF, C,FB,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:08:02.259,334B 4B52, C,7C,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:08:03.245,334B 4B52, C,E9,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:11:10.811,334B 4B00, C,DA,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:32:04.182,3349 4B52, C,4E,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:32:37.518,334B 4A43, C,6E,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:35:20.721,334B 4B52, C,CD,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:46:19.247,334B 4B52, C,AC,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:46:20.237,334B 4B52, D,49,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:46:21.224,334B 4B52, D,58,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:53:06.580,334B 4B52, D,48,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:53:07.566,334B 4B52, D,39,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:53:58.103,334B 4BFF, D,09,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:53:59.116,5566 552D, D,B9,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:56:46.779,5566 552D, D,19,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:56:47.788,5566 552D, D,A8,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:58:16.874,5566 5FFF, D,69,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T06:58:17.884,5566 552D, C,F9,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:00:26.863,5566 57FF, D,79,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:00:27.873,5566 552D, D,98,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:09:13.689,5566 552D, D,88,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:10:50.979,3343 4B12, D,2C,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:10:51.967,334B 4B52, C,EC,2015-09-23T15:28:45.017,ASL/16/3937*23

2015-09-24T07:10:52.952,334B 4B52, C,AA,2015-09-23T15:28:45.017,ASL/16/3937*23

