Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-10-07T09:14:37.978,E392 69DE, A,E1,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:14:39.928,00F8 64FF, 4,CD,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:14:41.914,66CC AAAA, 0,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:14:45.887,66CC AAAA, F,C9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:15:12.031,66CC AAAA, F,39,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:16:53.519,66CC AAAA, E,89,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:16:55.502,66CC AAAA, E,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:17:29.758,66CC A800, F,B9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:17:31.746,66CC AAAA, F,BA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:17:33.732,66CC AAAA, E,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:17:35.720,66CC AAAA, D,39,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:17:37.704,66CC AAAA, E,7A,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:18:05.380,66CC AAAA, E,89,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:18:07.363,66CC AAAA, F,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:18:16.273,66C0 0000, F,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:20:12.175,66CC AAAA, E,CA,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:33.310,66CC AAA0, E,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:35.294,66CC AAAA, E,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:37.279,66CC AAAA, E,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:39.263,66CC AAAA, E,99,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:41.248,66CC AAAA, E,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:43.231,66CC AAAA, F,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:45.214,66CC AAAA, F,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:47.196,66CC AAAA, F,09,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:55.414,66CC 0000, 1,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:22:57.397,66CC AAAA, 1,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:23:34.401,66CC A000, 0,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:23:36.421,66CC AAAA, 1,88,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:24:52.262,66CC AAAA, 0,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:24:54.246,66CC AAAA, 1,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:25:17.726,66CC AAAA, 2,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:04.578,66CC AAAA, 0,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:06.561,66CC AAAA, 1,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:10.890,66CC A800, 0,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:12.874,66CC AAAA, 1,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:38.796,66CC AAAA, 1,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:27:40.779,66CC AAAA, 1,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:23.387,0000 0000, 2,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:25.372,66CC AAAA, 0,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:27.358,66CC AAAA, F,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:29.341,66CC AAAA, F,39,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:55.916,6680 0000, F,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:29:57.900,66CC AAAA, 0,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:30:31.251,66CC AA80, 1,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:31:43.016,66CC AAAA, 1,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:32:35.493,66CC AAAA, 1,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:36:03.357,66CC AAAA, 0,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:36:05.344,66CC AAAA, 1,88,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:36:07.331,66CC AAAA, 0,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:36:09.315,66CC AAAA, 1,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:41:58.551,66CC AAAA, 0,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:42:00.538,66CC AAAA, E,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:42:02.524,66CC AAAA, F,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:42:09.739,66CC AAAA, 0,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:42:11.726,66CC AAAA, E,99,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:42:13.710,66CC AAAA, F,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:46:43.408,66CC AAAA, E,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:47:11.619,66CC AAAA, F,79,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:47:25.491,66CC AAAA, 0,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:47:27.478,66CC AAAA, F,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:47:29.462,66CC AAAA, F,D9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:53:07.106,66CC AAAA, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:53:09.092,66CC AAAA, D,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:53:25.119,66CC AAAA, F,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T09:53:39.311,66CC 8000, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:06.912,4000 0000, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:08.898,66CC AAAA, D,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:10.881,66CC AAAA, E,C9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:49.363,6400 0000, E,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:51.350,66CC AAAA, C,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:00:53.334,66CC AAAA, E,99,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:01:20.047,66CC AAAA, E,89,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:01:22.034,66CC AAAA, E,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:01:24.016,66CC AAAA, E,69,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:02:10.539,66C0 0000, D,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:02:12.521,66CC AAAA, F,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:03:22.515,6000 0000, F,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:04:34.974,66C0 0000, E,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:04:36.957,66CC AAAA, F,29,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:04:38.943,66CC AAAA, E,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:04:40.927,66CC AAAA, F,39,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:05:31.827,66CC AAAA, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:05:33.810,66CC AAAA, E,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:05:35.794,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:06:00.692,66CC AAA8, 0,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:06:02.678,66CC AAAA, 1,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:06:04.665,66CC AAAA, 1,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:06:06.647,66CC AAAA, 1,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:08:09.862,66C0 0000, 0,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:08:11.849,66CC AAAA, 1,F8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:08:13.832,66CC AAAA, 1,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:08:44.146,4000 0000, 1,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:09:42.256,66CC AAAA, 2,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:09:44.239,66CC AAAA, F,99,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:09:46.224,66CC AAAA, 0,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:11:46.291,66CC AAAA, 1,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:11:48.278,66CC AAAA, 0,99,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:11:50.261,66CC AAAA, 0,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:12:12.396,6600 0000, 0,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:12:14.382,66CC AAAA, D,F9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:12:16.370,66CC AAAA, F,1A,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:12:18.356,66CC AAAA, F,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:13:05.889,66CC AAAA, 0,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:13:07.874,66CC AAAA, F,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:13:13.842,66CC AAAA, F,19,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:13:15.825,66CC AAAA, 1,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:14:07.232,6000 0000, 1,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:15:35.198,66CC AAAA, 1,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:15:37.181,66CC AAAA, 0,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:16:56.396,66C0 0000, 0,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:17:15.867,66CC AAAA, F,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:17:17.850,66CC AAAA, 1,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:19:27.681,6680 0000, 2,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:19:44.669,66CC 8000, 1,08,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:19:46.657,66CC AAAA, F,68,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:19:48.641,66CC AAAA, F,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:19:56.039,66CC AA00, 0,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:20:30.014,66CC AAA8, 0,E8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:20:32.002,66CC AAAA, F,A9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:20:33.990,66CC AAAA, 0,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:20:35.977,66CC AAAA, E,E9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:20:37.961,66CC AAAA, 0,79,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:21:40.161,66CC 0000, F,79,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:21:42.144,66CC AAAA, E,D9,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:22:53.785,66CC 8000, F,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:22:55.772,66CC AAAA, E,28,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:22:57.759,66CC AAAA, F,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:22:59.746,66CC AAAA, E,59,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:23:01.731,66CC AAAA, E,48,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:23:03.715,66CC AAAA, F,C8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:26:57.405,66CC AAAA, 1,98,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:26:59.391,66CC AAAA, F,A8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:29:23.272,66CC AAAA, 1,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:29:25.259,66CC AAAA, F,B8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:29:27.243,66CC AAAA, F,49,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:29:51.061,66C8 0000, F,38,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:30:35.859,66CC AAAA, 1,58,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:32:25.392,66CC AAAA, 1,18,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:32:48.307,66CC AAAA, 0,D8,2015-10-07T09:14:37.514,ASL/16/3937*2C

2015-10-07T10:32:50.295,66CC AAAA, 0,78,2015-10-07T09:14:37.514,ASL/16/3937*2C

