Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-10-28T11:40:30.780,E3B2 71DE, E,E1,2015-10-28T11:40:30.097,ASL/16/3937*20

2015-10-30T09:31:26.273,E3B2 6BFF, E,E1,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:31:32.096,00FA 64FF, 4,CD,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:31:41.404,66A1 B4CC, C,0E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:31:46.411,66C8 D2C2, C,3D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:31:49.911,66C8 92D2, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:31:57.428,66AD B48C, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:32:06.442,44C8 D2D2, C,8E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:32:24.549,66CC D2D2, C,3D,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:32:34.445,66AD B0CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:32:48.463,462D B4CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:32:55.227,60CC D242, C,5F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:01.165,66A8 A4CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:04.133,66AC B484, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:09.081,66A9 B4C8, C,2E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:19.968,2625 80CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:25.906,642D 944C, C,7F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:26.896,6685 B4CC, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:29.865,06AD B4CC, C,6F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:37.463,642D A4CC, C,6E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:33:47.679,44CC 9092, C,4E,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:03.514,6289 B4CC, C,3F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:06.483,40A1 A4CC, C,4F,2015-10-30T09:31:25.589,ASL/16/3937*2B

2015-10-30T09:34:09.452,66AD 948C, C,2F,2015-10-30T09:31:25.589,ASL/16/3937*2B

