Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time2015-11-17T12:36:59.233,E3B2 7BFF, E,E1,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:02.701,30FA 24FF, 4,CD,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:08.505,66AD B4CC, C,FD,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:11.442,5566 4B2A, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:12.422,66AD B4CC, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:13.402,6685 B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:18.662,26AD B7FF, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:19.680,66AD B0CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:20.626,622D B48C, D,0D,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:27.025,62A5 B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:28.007,668D B4C4, C,EC,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:28.988,662D 94CC, D,0C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:29.864,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:35.769,5566 4B2A, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:37.732,66AD B4CC, D,4B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:38.712,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:44.197,66AD B3FF, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:45.179,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:46.160,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:47.140,66AD B4CC, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:51.739,66AD BFFF, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:53.988,5566 4B2A, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:54.969,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:37:55.949,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:01.562,66AD B7FF, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:02.544,668D B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:03.525,66AD B4CC, D,0B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:12.399,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:13.379,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:14.004,66AD 7FFF, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:19.122,5566 4B2A, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:21.086,66A1 B4CC, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:22.064,66AD B4CC, D,6A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:28.190,66B7 FFFE, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:29.172,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:30.152,46AD B48C, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:35.737,66AD B4CF, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:36.658,66AD B4CC, D,4A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:36.719,5566 4B2A, C,FA,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:37.699,66AD B44C, D,3B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:38.679,66AD B4CC, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:44.808,66AD 7FFF, D,6A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:45.825,66AD B4CC, D,4C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:46.770,66A5 348C, D,3C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:47.750,66AD B4CC, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:53.692,66AF FFFC, D,39,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:54.673,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:38:55.653,662D B4CC, D,2C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:01.371,66AD BFFF, C,F9,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:02.353,66AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:03.334,66AD A4CC, C,FC,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:09.053,668D B4FF, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:11.016,66AD B4CC, D,1A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:16.988,66AD B4CF, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:17.970,64AD B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:19.930,662D B4CC, D,1B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:22.679,66AF FFF8, D,29,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:25.941,5566 4B2A, D,19,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:26.923,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:27.903,26AD B4CC, D,1C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:33.879,66AD B4FF, D,09,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:34.861,66AD B4CC, D,2A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:35.841,66AD B4CC, D,2B,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:41.627,66AD B4FF, D,0A,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:42.608,66AD B48C, D,4C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:46.431,66AD B4CC, D,4C,2015-11-17T12:36:58.551,ASL/16/3937*2E

2015-11-17T12:39:50.612,5566 4B2A, C,EA,2015-11-17T12:36:58.551,ASL/16/3937*2E

