Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jan-2016,09:38:39.012,34D5 31D3, 3,36,19-Jan-2016,21:56:41.602
20-Jan-2016,09:41:08.830,4000 0000, C,69,19-Jan-2016,21:56:41.602
20-Jan-2016,09:41:25.147,5550 0000, C,7A,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:11.410,5400 0000, C,39,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:12.394,3348 4B52, E,F8,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:20.039,3FFF C000, E,E8,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:21.026,334B 4B52, F,08,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:22.011,334B 4B52, F,09,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:22.996,334B 4B52, E,F9,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:20.759,334B 4B00, E,E8,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:21.778,4952 4B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:22.796,0B52 4366, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:29.926,4B50 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:30.945,4B00 4A22, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:32.982,4952 4964, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:37.055,4B12 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:38.074,4152 4B66, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:39.092,4B52 4B64, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:40.111,0B42 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:43.167,4B52 4B46, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:47.241,4052 4366, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:49.278,4B50 0064, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:50.296,4B40 4866, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:51.315,4B52 4B22, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:55.389,4B52 4A62, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:56.408,4B52 4946, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:58.444,4B52 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:00.482,4B52 4320, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:01.500,4350 0966, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:03.537,4B52 0B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:06.593,4B52 4366, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:08.629,4B42 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:10.666,4B40 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:16.777,4352 4364, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:17.796,4B42 4B26, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:18.815,4B52 4A66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:19.833,4B52 4366, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:22.889,4B52 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:25.944,4B52 4B66, C,6C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:30.019,0310 4964, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:33.074,4B40 4A26, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:34.093,4B50 4B24, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:38.167,0B52 4B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:39.185,4942 0966, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:41.222,4352 4B24, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:45.296,4B52 4B22, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:46.315,4B52 4B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:49.370,4B12 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:51.407,0B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:52.426,4352 4B64, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:53.444,4B50 4A66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:56.500,4A12 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:55:57.518,4B40 4346, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:01.592,4302 4B26, C,6D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:03.629,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:04.648,4B12 4B64, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:05.666,4B42 4860, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:08.722,4B52 4B66, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:09.741,0912 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:11.778,4B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:12.796,0352 4B62, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:13.815,4852 4B02, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:16.870,4B40 0B46, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:19.926,4B42 0B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:21.963,4B52 4904, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:22.982,4B52 4864, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:24.000,4310 4306, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:25.019,4B52 4B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:26.037,4B50 4B64, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:28.075,4B52 4B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:30.112,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:34.186,4B42 0B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:36.223,4352 4B26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:38.260,4852 4B06, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:39.278,4B50 0B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:42.334,0940 4B06, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:45.389,4B52 0B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:47.427,4B52 4A40, C,AE,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:50.482,4B02 4122, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:53.538,4B52 4000, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:54.556,4B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:55.575,4340 0946, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:57.612,4352 4326, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:01.686,4B52 0B06, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:07.796,0B52 4306, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:09.833,4942 0A06, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:10.852,4B52 4266, C,6C,19-Jan-2016,21:56:41.602
