Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
24-Feb-2016,11:52:47.226,BE57 7EFB,1F,C5,24-Feb-2016,11:52:46.551
24-Feb-2016,12:02:05.191,E5BB 40FA,8A,58,24-Feb-2016,11:52:46.551
24-Feb-2016,12:02:07.178,66CC AAAA,D6,BD,24-Feb-2016,11:52:46.551
24-Feb-2016,12:02:09.162,66CC AEAA,F5,F0,24-Feb-2016,11:52:46.551
24-Feb-2016,12:11:15.083,66CC AAB8,F2,CE,24-Feb-2016,11:52:46.551
24-Feb-2016,12:11:30.035,2112 000C,C4,FA,24-Feb-2016,11:52:46.551
24-Feb-2016,12:23:59.654,A845 A000,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,12:24:01.637,66CC AAAA,E9,DE,24-Feb-2016,11:52:46.551
24-Feb-2016,12:52:59.274,66C0 8180,D8,D9,24-Feb-2016,11:52:46.551
24-Feb-2016,12:53:01.256,66CC AAAA,E0,B6,24-Feb-2016,11:52:46.551
24-Feb-2016,13:27:48.762,6000 0000,DA,C7,24-Feb-2016,11:52:46.551
24-Feb-2016,13:36:51.259,0005 0120,C8,FA,24-Feb-2016,11:52:46.551
24-Feb-2016,13:36:53.245,66CC AAAA,D3,B7,24-Feb-2016,11:52:46.551
24-Feb-2016,13:36:55.229,E6CC AEAA,F2,DD,24-Feb-2016,11:52:46.551
24-Feb-2016,13:46:13.439,66CC ABAE,EB,D3,24-Feb-2016,11:52:46.551
24-Feb-2016,14:17:14.772,66CC A801,EC,D1,24-Feb-2016,11:52:46.551
24-Feb-2016,14:40:28.903,0001 00E0,C7,FE,24-Feb-2016,11:52:46.551
24-Feb-2016,14:40:30.886,66CC AAAA,D4,D9,24-Feb-2016,11:52:46.551
24-Feb-2016,14:59:32.062,66CC 8000,E8,DC,24-Feb-2016,11:52:46.551
24-Feb-2016,15:00:46.408,0AB0 88C2,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,15:13:38.798,2435 8ECB,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,15:33:50.443,4560 AA20,C1,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,16:04:00.079,1000 5001,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,16:56:35.841,0000 3412,C3,F5,24-Feb-2016,11:52:46.551
24-Feb-2016,17:34:33.027,1020 0000,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,17:37:26.862,0000 0040,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,17:47:15.452,0010 4453,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,17:50:02.758,2000 1280,C2,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,17:52:37.131,81B0 2600,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,17:56:05.471,E401 6E43,E3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:04:58.532,0400 A88D,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:13:56.888,290C 2442,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:14:26.886,0812 0202,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:15:10.317,0401 0020,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:18:27.616,0809 018A,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:18:30.444,2410 0810,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:24:32.734,5240 4040,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:26:42.613,2010 44A2,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:29:01.256,0920 0961,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:31:16.890,8A08 101E,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:37:44.437,3920 0405,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:38:24.766,0408 0048,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:41:05.882,0000 8001,C6,F1,24-Feb-2016,11:52:46.551
24-Feb-2016,18:46:59.363,0288 0400,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,18:56:30.926,4480 4165,CB,FF,24-Feb-2016,11:52:46.551
