Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20151007,09:14:41.914,66CC AAAA,04,8C,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:14:45.887,66CC AAAA,FC,92,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:15:12.031,66CC AAAA,F3,9D,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:16:53.519,66CC AAAA,E8,9A,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:16:55.502,66CC AAAA,EE,9E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:17:31.746,66CC AAAA,FB,A5,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:17:33.732,66CC AAAA,EF,9E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:17:35.720,66CC AAAA,D3,9C,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:17:37.704,66CC AAAA,E7,A1,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:18:05.380,66CC AAAA,E8,9E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:18:07.363,66CC AAAA,F4,8E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:20:12.175,66CC AAAA,EC,A0,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:35.294,66CC AAAA,E6,9A,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:37.279,66CC AAAA,E6,91,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:39.263,66CC AAAA,E9,9C,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:41.248,66CC AAAA,E6,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:43.231,66CC AAAA,FB,89,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:45.214,66CC AAAA,FA,8E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:47.196,66CC AAAA,F0,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:22:57.397,66CC AAAA,15,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:23:36.421,66CC AAAA,18,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:24:52.262,66CC AAAA,06,88,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:24:54.246,66CC AAAA,1A,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:25:17.726,66CC AAAA,24,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:27:04.578,66CC AAAA,0E,85,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:27:06.561,66CC AAAA,16,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:27:12.874,66CC AAAA,1D,86,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:27:38.796,66CC AAAA,17,87,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:27:40.779,66CC AAAA,19,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:29:25.372,66CC AAAA,05,87,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:29:27.358,66CC AAAA,FC,8B,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:29:29.341,66CC AAAA,F3,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:29:57.900,66CC AAAA,01,8E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:31:43.016,66CC AAAA,12,85,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:32:35.493,66CC AAAA,1B,83,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:36:03.357,66CC AAAA,0B,84,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:36:05.344,66CC AAAA,18,86,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:36:07.331,66CC AAAA,03,86,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:36:09.315,66CC AAAA,16,83,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:41:58.551,66CC AAAA,0B,85,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:42:00.538,66CC AAAA,E7,8A,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:42:02.524,66CC AAAA,FA,8D,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:42:09.739,66CC AAAA,04,8B,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:42:11.726,66CC AAAA,E9,9E,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:42:13.710,66CC AAAA,F4,98,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:46:43.408,66CC AAAA,EE,95,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:47:11.619,66CC AAAA,F7,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:47:25.491,66CC AAAA,06,91,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:47:27.478,66CC AAAA,F7,8A,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:47:29.462,66CC AAAA,FD,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:53:07.106,66CC AAAA,F5,8F,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:53:09.092,66CC AAAA,DF,87,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,09:53:25.119,66CC AAAA,F1,94,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:00:08.898,66CC AAAA,DD,8B,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:00:10.881,66CC AAAA,EC,92,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:00:51.350,66CC AAAA,CF,98,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:00:53.334,66CC AAAA,E9,90,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:01:20.047,66CC AAAA,E8,9D,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:01:22.034,66CC AAAA,EC,8B,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:01:24.016,66CC AAAA,E6,91,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:02:12.521,66CC AAAA,FE,8F,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:04:36.957,66CC AAAA,F2,93,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:04:38.943,66CC AAAA,E6,8F,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:04:40.927,66CC AAAA,F3,96,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
20151007,10:05:31.827,66CC AAAA,F5,8A,Unit6,20151007,09:14:37.514,DUMP,5174,GATE,M,B
