Date,Unit1,Unit2,Unit3,Unit6
27-May-2014,JAIM,MACR,BLMP,
29-May-2014,CAVI,AMAD,RE18,
31-May-2014,PLQE,CABI,bad,
02-Jun-2014,GATR,RE27,bad,
04-Jun-2014,SHAN,RE30,bad,
06-Jun-2014,SHIL,UPBA,bad,
08-Jun-2014,SHAA,HORS,bad,
10-Jun-2014,RE19,LOLF,bad,
12-Jun-2014,SHW,MISH,bad,
14-Jun-2014,1800,LHAY,bad,
16-Jun-2014,1500,SHAA,bad,
18-Jun-2014,BLMP,GATR,bad,
20-Jun-2014,HORS,MACR,bad,
22-Jun-2014,H-B,RE27,bad,
24-Jun-2014,1600,MISH,bad,
26-Jun-2014,CAVI,RE18,bad,
28-Jun-2014,KNOL,LOLF,bad,
30-Jun-2014,PIPE,PLQE,bad,
02-Jul-2014,DUMP,RE07,bad,
04-Jul-2014,WMRD,LHAY,MLF2,
06-Jul-2014,RE17,H-B,1500,
08-Jul-2014,KNOL,DIPS,1600,
10-Jul-2014,SHIL,GATE,WMRD,
12-Jul-2014,RE08,SOHA,1800,
14-Jul-2014,WGAT,STRO,DUMP,
16-Jul-2014,SHAN,DIPS,RE07,
18-Jul-2014,MLF2,SOHA,RE07,
20-Jul-2014,AMAD,PLAN,SHW,
22-Jul-2014,GATE,UPBA,STRO,
24-Jul-2014,RE08,PLAN,RE19,
26-Jul-2014,PIPE,RE30,RE19,
28-Jul-2014,PLQE,RE27,SHAA,
30-Jul-2014,SOHA,WGAT,RE07,
01-Aug-2014,BLMP,LOLF,RE18,
03-Aug-2014,MLF2,HORS,1500,
05-Aug-2014,JAIM,CAVI,PLAN,
07-Aug-2014,DUMP,H-B,AMAD,
09-Aug-2014,GATE,UPBA,SHAN,
11-Sep-2014,RE17,1600,GATR,
13-Aug-2014,MISH,WMRD,SHIL,
15-Aug-2014,1800,STRO,RE08,
17-Aug-2014,MACR,LHAY,CABI,
19-Aug-2014,KNOL,DIPS,RE30,
21-Aug-2014,PIPE,SHW,GATE,
23-Aug-2014,1800,SHAN,RE30,
25-Aug-2014,WGAT,LHAY,JAIM,
27-Aug-2014,RE07,SOHA,PLAN,
29-Aug-2014,CABI,DUMP,1600,
31-Aug-2014,KNOL,GATR,LOLF,
02-Sep-2014,MLF2,WMRD,UPBA,
04-Sep-2014,PLQE,MACR,DIPS,
06-Sep-2014,PIPE,RE17,RE27,
08-Sep-2014,1500,H-B,RE08,
10-Sep-2014,CAVI,MISH,SHW,
12-Sep-2014,HORS,SHAA,SHIL,
14-Sep-2014,RE19,RE18,AMAD,
16-Sep-2014,BLMP,STRO,1500,
18-Sep-2014,MACR,RE30,JAIM,
20-Sep-2014,KNOL,1800,SOHA,
22-Sep-2014,MISH,1600,SHAA,
24-Sep-2014,STRO,PIPE,RE27,
26-Sep-2014,WGAT,DIPS,GATR,
28-Sep-2014,RE17,H-B,LHAY,
30-Sep-2014,WMRD,RE07,LOLF,
02-Oct-2014,PLAN,RE19,MLF2,
04-Oct-2014,UPBA,SHW,DUMP,
08-Oct-2014,CAVI,AMAD,RE18,
10-Oct-2014,PLQE,SHAN,CABI,
12-Oct-2014,GATE,RE08,BLMP,
14-Oct-2014,HORS,SHIL,SHAA,
16-Oct-2014,RE07,MACR,RE27,
18-Oct-2014,SHW,MISH,RE30,
20-Oct-2014,AMAD,PLAN,DIPS,
22-Oct-2014,BLMP,HORS,KNOL,
27-Oct-2014,1600,PIPE,RE18,
29-Oct-2014,JAIM,LOLF,SHIL,
31-Oct-2014,RE19,CAVI,GATR,
02-Nov-2014,1500,LHAY,SHAN,
04-Nov-2014,UPBA,H-B,RE17,
06-Nov-2014,CABI,STRO,GATE,
08-Nov-2014,RE08,MLF2,PLQE,
10-Nov-2014,DUMP,WMRD,WGAT,
12-Nov-2014,SOHA,1800,bad,
19-Nov-2014,SHAA,CABI,BKOK,
21-Nov-2014,GATE,DIPS,SHIL,
23-Nov-2014,FNCH,CHIM,AVEQ,
25-Nov-2014,BISO,CAVI,PLAN,
27-Nov-2014,KNOL,ARFT,MONA,
29-Nov-2014,MLF2,RE17,MISH,
01-Dec-2014,GATR,WMRD,RE27,
03-Dec-2014,1600,DUMP,RE07,
05-Dec-2014,STRO,1500,SHW,
07-Dec-2014,RE30,PLQE,H-B,
09-Dec-2014,RE08,LHAY,AARD,
13-Dec-2014,JAIM,PIPE,MACR,
15-Dec-2014,RE18,1800,WGAT,
17-Dec-2014,ROBH,HORS,UPBA,
19-Dec-2014,AMAD,LOLF,RE19,
21-Dec-2014,SOHA,SHAN,BLMP,
03-Jan-2015,RE18,1800,MISH,
05-Jan-2015,WGAT,CHIM,DIPS,
07-Jan-2015,H-B,AMAD,PLAN,
09-Jan-2015,RE07,MONA,ARFT,
11-Jan-2015,SHW,BISO,RE08,
13-Jan-2015,SHAN,CAVI,PIPE,
15-Jan-2015,LHAY,GATE,SHAA,
18-Jan-2015,SOHA,BLMP,RE27,
20-Jan-2015,1600,AARD,GATR,
22-Jan-2015,RE30,DUMP,JAIM,
24-Jan-2015,MACR,FNCH,ROBH,
26-Jan-2015,MLF2,CABI,RE17,
29-Jan-2015,AVEQ,SHIL,UPBA,
31-Jan-2015,RE19,PLQE,STRO,
02-Feb-2015,LOLF,BKOK,HORS,
04-Feb-2015,1500,WMRD,KNOL,
06-Feb-2015,1500,RE19,BKOK,
09-Feb-2015,GATE,MLF2,MISH,
11-Feb-2015,SHW,WGAT,SOHA,
13-Feb-2015,RE30,FNCH,RE27,
20-Feb-2015,RE07,WMRD,MONA,
22-Feb-2015,ARFT,MACR,LHAY,
24-Feb-2015,SHAA,AMAD,RE18,
26-Feb-2015,CHIM,bad,DIPS,
01-Mar-2015,1800,bad,HORS,
03-Mar-2015,PIPE,bad,STRO,
05-Mar-2015,CAVI,bad,AARD,
07-Mar-2015,UPBA,bad,CABI,
09-Mar-2015,DUMP,bad,PLQE,
11-Mar-2015,SHIL,bad,ROBH,
13-Mar-2015,SHAN,bad,1600,
15-Mar-2015,KNOL,bad,RE17,
17-Mar-2015,SHW,BLMP,RE27,
19-Mar-2015,RE08,AVEQ,BISO,
21-Mar-2015,KNOL,CHIM,ROBH,
23-Mar-2015,bad,RE07,PLAN,
25-Mar-2015,LOLF,GATR,PLAN,
27-Mar-2015,ARFT,H-B,JAIM,
29-Mar-2015,RE18,RE17,RE19,
31-Mar-2015,RE30,MISH,RE08,
02-Apr-2015,MLF2,GATR,AARD,
04-Apr-2015,LOLF,HORS,FNCH,
06-Apr-2015,UPBA,STRO,SHAN,
08-Apr-2015,SHAA,JAIM,LHAY,
10-Apr-2015,PIPE,1600,bad,
12-Apr-2015,WMRD,1500,AMAD,
14-Apr-2015,BKOK,H-B,MACR,
16-Apr-2015,MONA,SOHA,BLMP,
19-Apr-2015,AVEQ,DUMP,CABI,
21-Apr-2015,SHIL,WGAT,bad,
23-Apr-2015,bad,PLQE,1800,
25-Apr-2015,bad,SHW,DIPS,
27-Apr-2015,bad,MLF2,GATE,
29-Apr-2015,bad,GATR,RE18,
01-May-2015,bad,ROBH,RE17,
03-May-2015,bad,RE19,H-B,
05-May-2015,bad,RE07,LHAY,
07-May-2015,bad,DUMP,DIPS,
09-May-2015,bad,LOLF,1500,
11-May-2015,bad,AARD,BLMP,
13-May-2015,bad,1600,KNOL,
15-May-2015,bad,CHIM,WMRD,
17-May-2015,bad,MACR,1800,
19-May-2015,bad,SHAN,BISO,
21-May-2015,bad,UPBA,WGAT,
23-May-2015,bad,CAVI,AVEQ,
25-May-2015,bad,JAIM,RE30,
27-May-2015,bad,RE27,CABI,
29-May-2015,PLQE,AMAD,BKOK,
31-May-2015,CAVI,RE08,SHAA,
02-Jun-2015,FNCH,PLAN,SHIL,
04-Jun-2015,MONA,HORS,ARFT,
06-Jun-2015,PIPE,MISH,SOHA,
08-Jun-2015,SHAA,LOLF,,
10-Jun-2015,RE08,JAIM,STRO,
12-Jun-2015,UPBA,AARD,GATE,
14-Jun-2015,SHW,BLMP,PLQE,
16-Jun-2015,BKOK,1600,DUMP,
18-Jun-2015,RE19,PLAN,DIPS,
20-Jun-2015,MISH,RE17,SHAN,
22-Jun-2015,MONA,BISO,ARFT,
24-Jun-2015,RE18,WGAT,WMRD,
26-Jun-2015,AMAD,CAVI,1500,
28-Jun-2015,CABI,RE27,RE07,
30-Jun-2015,CHIM,RE30,SHIL,
02-Jul-2015,1800,H-B,GATE,
04-Jul-2015,MLF2,KNOL,HORS,STRO
06-Jul-2015,AVEQ,MACR,ROBH,GATR
08-Jul-2015,LHAY,BISO,DIPS,bad
10-Jul-2015,FNCH,PIPE,GATR,SOHA
12-Jul-2015,AMAD,CABI,PIPE,ARFT
14-Jul-2015,bad,bad,bad,bad
