IDNum,TagNum,Group,Sex,Status,Date Tagged,2014 Trim
4955,3333 2582,MACR,M,H,2014-05-27,GONE
5140,66CC 99AA,HORS,F,H,2014-07-12,2014-12-22
5190,5252 5266,1800,M,H,2014-07-24,X
5481,AAAA 6AD6,1600,M,H,2014-05-31,X
5616,9999 35C3,MACR,M,H,2014-05-27,2015-04-09
5719,5555 2A55,HORS,M,B,2014-07-12,X
5053,6666 5BC4,HORS,M,B,2014-06-18,2014-12-22
5054,CCCC 1226,HORS,M,B,2014-06-18,X
4025,4052 4B33,1500,F,B,2014-12-20,na
4672,5555 2A52,1500,F,B,2014-12-20,na
4436,66CC CCB4,1500,M,B,2014-12-20,na
5082,334B 2D2A,1500,M,B,2014-12-20,na
5636,52D5 AAAA,1500,F,H,2014-12-20,na
5597,66AA 99B4,1500,F,H,2014-12-20,na
5420,66CC CCB3,1600,M,H,2014-12-22,na
4421,5252 5255,GATE,F,B,2014-12-17,na
5174,66CC AAAA,GATE,M,B,2014-12-17,na
5730,52D5 AACC,HORS,F,B,2014-12-22,na
5206,66CC ADB4,HORS,M,B,2014-12-22,na
5719,5555 2A55,HORS,M,B,2014-12-22,na
5201,52D5 AACB,HORS,F,H,2014-12-22,na
2973,66CC AAB3,MACR,M,B,2014-12-29,na
3399,5566 4B2A,KNOL,M,B,2015-04-04,na
5768,334B 4B52,MACR,M,H,2015-04-09,na
5604,5566 4B52,MACR,F,B,2015-04-09,na
4549,5566 552D,MACR,M,B,2015-04-09,na

